Flip 7,21260,5818
Bomb Busters,11901,2291
Harmonies,10903,4232
Castle Combo,9395,3323
Ark Nova,9356,3605
Toy Battle,9030,1278
Sky Team,9027,2786
The Fellowship of the Ring: Trick-Taking Game,8860,1709
Forest Shuffle,7903,3002
Faraway,7815,2948
Marvel Champions: The Card Game,7456,1096
Sea Salt & Paper,6639,2543
Wingspan,6580,2901
Azul,6546,2935
Terraforming Mars,6022,2784
Trio,5956,1611
The White Castle,5603,2338
Spirit Island,5371,1592
Can't Stop,5011,1076
Magic: The Gathering,4963,641
Captain Flip,4678,1352
Heat: Pedal to the Metal,4647,2540
The Gang,4641,1550
7 Wonders Duel,4447,1562
Cascadia,4043,2414
SETI: Search for Extraterrestrial Intelligence,3839,2526
Carcassonne,3751,1568
Splendor,3723,1719
The Crew: Mission Deep Sea,3629,843
SCOUT,3499,1941
Lost Ruins of Arnak,3436,1933
Blood on the Clocktower,3303,893
Star Wars: Unlimited,3299,316
The Crew: The Quest for Planet Nine,3237,637
Race for the Galaxy,3179,659
The Castles of Burgundy,3093,1392
Cartographers,2996,1057
Patchwork,2956,1437
The Lord of the Rings: Duel for Middle-earth,2804,1617
Welcome to the Moon,2695,865
Space Base,2662,1120
Endeavor: Deep Sea,2661,1472
Arkham Horror: The Card Game,2594,779
Slay the Spire: The Board Game,2540,1037
Dominion,2537,803
Ticket to Ride,2518,1105
Codenames,2466,876
Dune: Imperium,2375,1267
Finished!,2339,87
Point Salad,2333,937
Disney Lorcana,2323,277
Agent Avenue,2298,650
Star Realms,2294,426
Earth,2250,1474
River Valley Glassworks,2248,975
Kingdomino,2220,1091
Frosthaven,2182,741
Chess,2153,462
Lost Cities,2123,867
Just One,2087,1293
Sagrada,2072,1152
It's a Wonderful World,2066,789
7 Wonders,2029,1053
Finspan,2025,1333
Let's Go! To Japan,2011,1047
The Guild of Merchant Explorers,2007,710
CATAN,2003,1049
Crokinole,2003,537
Fantasy Realms,1959,669
Everdell,1934,1302
Root,1921,1034
Take 5,1871,940
Quacks,1866,1347
Splendor Duel,1859,1076
That's Pretty Clever!,1858,826
Pixies,1842,886
Brass: Birmingham,1833,1272
Dorfromantik: The Board Game,1813,677
So Clover!,1755,795
HITSTER,1754,777
